EC_number,Substrate,UniProt_ID,Protein_file,Organism_name,Km_value (mM),pH,Temperature,Site_type,Substrate_SMILES,Mol_file,pKm_value
2.4.1.38,chitotriose,P15291,2AGD.pdb,Homo sapiens,0.96,-----,-----,Substrate_only,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)N)OC(C(CO)O)C(C(C=O)N)O)CO)N)O)O)O,mol_885.sdf,-0.017728767
2.4.1.384,apigenin,O34539,6KQW.pdb,Bacillus subtilis,0.0194,7,30°C,Substrate_only,O1C(=CC(=O)C=2C(O)=CC(O)=CC12)C1=CC=C(O)C=C1,mol_889.sdf,-1.71219827
2.4.1.384,genistein,O34539,6KQW.pdb,Bacillus subtilis,0.0226,7,30°C,Substrate_only,O1C=C(C(=O)C=2C(O)=CC(O)=CC12)C1=CC=C(O)C=C1,mol_888.sdf,-1.645891561
2.4.1.4,6-hydroxyflavanone,Q1J0W0,3UCQ.pdb,Deinococcus geothermalis,3.9,5,45°C,Substrate_only,OC=1C=C2C(CC(OC2=CC1)C1=CC=CC=C1)=O,mol_890.sdf,0.591064607
2.4.1.4,6-hydroxyflavanone,Q1J0W0,3UCQ.pdb,Deinococcus geothermalis,1.31,7,45°C,Substrate_only,OC=1C=C2C(CC(OC2=CC1)C1=CC=CC=C1)=O,mol_890.sdf,0.117271296
2.4.1.4,4'-hydroxyflavanone,Q1J0W0,3UCQ.pdb,Deinococcus geothermalis,4.67,7,45°C,Substrate_only,OC1=CC=C(C2OC3=CC=CC=C3C(C2)=O)C=C1,mol_891.sdf,0.669316881
2.4.1.4,4'-hydroxyflavanone,Q1J0W0,3UCQ.pdb,Deinococcus geothermalis,9.07,5,45°C,Substrate_only,OC1=CC=C(C2OC3=CC=CC=C3C(C2)=O)C=C1,mol_891.sdf,0.957607287
2.4.1.4,sucrose,Q9ZEU2,1G5A.pdb,Neisseria polysaccharea,50.2,-----,-----,Substrate_only,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,mol_846.sdf,1.700703717
2.4.1.4,sucrose,Q9ZEU2,1G5A.pdb,Neisseria polysaccharea,50.2,7,30°C,Substrate_only,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,mol_846.sdf,1.700703717
2.4.1.41,UDP-N-acetyl-alpha-D-galactosamine,Q10471,2FFU.pdb,Homo sapiens,0.03,7.4,37°C,Substrate_only,CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O,mol_862.sdf,-1.522878745
2.4.1.41,UDP-Gal,Q10471,2FFU.pdb,Homo sapiens,0.03,-----,-----,Substrate_only,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,mol_144.sdf,-1.522878745
2.4.1.41,UDP-GalNAc,Q10471,2FFU.pdb,Homo sapiens,0.011,-----,-----,Substrate_only,CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O,mol_862.sdf,-1.958607315
2.4.1.41,UDP-N-acetyl-D-galactosamine,Q10471,2FFU.pdb,Homo sapiens,0.081,-----,37°C,Substrate_only,CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O,mol_862.sdf,-1.091514981
2.4.1.41,UDP-GalNAc,Q10471,2FFU.pdb,Homo sapiens,0.01,-----,-----,Substrate_only,CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O,mol_862.sdf,-2
2.4.1.41,UDP-GalNAc,Q8N4A0,6H0B.pdb,Homo sapiens,0.16,-----,-----,Substrate_only,CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O,mol_862.sdf,-0.795880017
2.4.1.49,phenyl beta-D-glucopyranoside,Q93HT8,5NZ8.pdb,Acetivibrio thermocellus,24,7.5,21°C,Substrate_only,O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO)C1=CC=CC=C1,mol_892.sdf,1.380211242
2.4.1.49,[(1->4)-beta-D-glucosyl]4,Q93HT8,5NZ8.pdb,Acetivibrio thermocellus,0.54,7.5,21°C,Substrate_only,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O[C@@H]4[C@@H](CO)OC(O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,mol_894.sdf,-0.26760624
2.4.1.49,[(1->4)-beta-D-glucosyl]6,Q93HT8,5NZ8.pdb,Acetivibrio thermocellus,1.9,7.5,21°C,Substrate_only,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O[C@H]4[C@H](O)[C@@H](O)[C@H](O[C@H]5[C@H](O)[C@@H](O)[C@H](O[C@H]6[C@H](O)[C@@H](O)[C@H](O)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,mol_896.sdf,0.278753601
2.4.1.49,[(1->4)-beta-D-glucosyl]5,Q93HT8,5NZ8.pdb,Acetivibrio thermocellus,0.36,7.5,21°C,Substrate_only,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O[C@H]4[C@H](O)[C@@H](O)[C@H](O[C@H]5[C@H](O)[C@@H](O)[C@H](O)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,mol_895.sdf,-0.443697499
2.4.1.49,[(1->4)-beta-D-glucosyl]2,Q93HT8,5NZ8.pdb,Acetivibrio thermocellus,2.6,7.5,21°C,Substrate_only,OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O,mol_893.sdf,0.414973348
2.4.1.49,[(1->4)-beta-D-glucosyl]3,Q93HT8,5NZ8.pdb,Acetivibrio thermocellus,0.68,7.5,21°C,Substrate_only,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,mol_897.sdf,-0.167491087
2.4.1.68,GDP-L-Fuc,Q9WTS2,6VLF.pdb,Mus musculus,0.117,7.5,37°C,Substrate_only,C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O,mol_2457.sdf,-0.931814138
2.4.1.68,GDP-L-Gal,Q9WTS2,6VLF.pdb,Mus musculus,0.229,7.5,37°C,Substrate_only,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OC4[C@H]([C@@H]([C@@H]([C@@H](O4)CO)O)O)O)O)O)N=C(NC2=O)N,mol_2458.sdf,-0.640164518
2.4.1.85,UDP-glucose,Q9SBL1,7ZER.pdb,Sorghum bicolor,0.8,7.5,30°C,Substrate_only,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,mol_144.sdf,-0.096910013
2.4.1.87,lactose,P14769,1O7Q.pdb,Bos taurus,100,6,30°C,Substrate_only,OC1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@H](O2)CO)[C@H](O1)CO,mol_256.sdf,2
2.4.1.87,UDP-galactose,P14769,1O7Q.pdb,Bos taurus,0.207364414,-----,37°C,Substrate_only,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,mol_144.sdf,-0.683265772
2.4.1.87,UDP-galactose,P14769,1O7Q.pdb,Bos taurus,0.16,6,30°C,Substrate_only,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,mol_144.sdf,-0.795880017
2.4.1.87,UDP-galactose,P14769,1O7Q.pdb,Bos taurus,0.004,7,37°C,Substrate_only,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,mol_144.sdf,-2.397940009
2.4.1.87,UDP-N-acetylgalactosamine,P14769,1O7Q.pdb,Bos taurus,0.5,7,37°C,Substrate_only,CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O,mol_862.sdf,-0.301029996
2.4.1.87,p-nitrophenyl-beta-D-galactoside,P14769,1O7Q.pdb,Bos taurus,1,-----,-----,Substrate_only,C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O,mol_898.sdf,0
2.4.1.87,UDP-N-acetylgalactosamine,P14769,1O7Q.pdb,Bos taurus,0.25,6,30°C,Substrate_only,CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O,mol_862.sdf,-0.602059991
2.4.1.87,UDP-Gal,P14769,1O7Q.pdb,Bos taurus,0.67,-----,-----,Substrate_only,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,mol_144.sdf,-0.173925197
2.4.1.87,lactose,P14769,1O7Q.pdb,Bos taurus,4.5,7,37°C,Substrate_only,OC1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@H](O2)CO)[C@H](O1)CO,mol_256.sdf,0.653212514
2.4.1.87,N-acetyllactosamine,P14769,1O7Q.pdb,Bos taurus,15,6,30°C,Substrate_only,C(C)(=O)N[C@H]1C(O)O[C@@H]([C@H]([C@@H]1O)O[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O1)CO)CO,mol_856.sdf,1.176091259
2.4.1.87,lactose,P14769,1O7Q.pdb,Bos taurus,19.9,-----,37°C,Substrate_only,OC1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@H](O2)CO)[C@H](O1)CO,mol_256.sdf,1.298853076
2.4.1.87,D-galactose,P14769,1O7Q.pdb,Bos taurus,392,-----,-----,Substrate_only,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,mol_116.sdf,2.593286067
2.4.1.87,N-acetyllactosamine,P14769,1O7Q.pdb,Bos taurus,0.6,-----,-----,Substrate_only,C(C)(=O)N[C@H]1C(O)O[C@@H]([C@H]([C@@H]1O)O[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O1)CO)CO,mol_856.sdf,-0.22184875
2.4.1.90,6-sulfo-N-acetyl-beta-D-glucosamine,P08037,1YRO.pdb,Bos taurus,1.7,-----,37°C,Substrate_only,S(=O)(=O)(O)C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O)O1)NC(C)=O)O)O)O,mol_2459.sdf,0.230448921
2.4.1.90,4-methylumbelliferyl-6-sulfo-N-acetyl-beta-D-glucosaminide,P08037,1YRO.pdb,Bos taurus,0.09,-----,37°C,Substrate_only,CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(C(O3)COS(=O)(=O)[O-])O)O)NC(=O)C,mol_2460.sdf,-1.045757491
2.4.1.90,UDP-alpha-D-galactose,P08037,1YRO.pdb,Bos taurus,0.23,-----,37°C,Substrate_only,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,mol_144.sdf,-0.638272164
2.4.2.1,2'-deoxyguanosine,A4Q998,2P4S.pdb,Anopheles gambiae,0.05,-----,-----,Substrate_only,[C@@H]1(C[C@H](O)[C@@H](CO)O1)N1C=NC=2C(=O)NC(N)=NC12,mol_902.sdf,-1.301029996
2.4.2.1,2'-deoxyinosine,A4Q998,2P4S.pdb,Anopheles gambiae,0.19,-----,-----,Substrate_only,[C@@H]1(C[C@H](O)[C@@H](CO)O1)N1C=NC=2C(O)=NC=NC12,mol_900.sdf,-0.721246399
2.4.2.1,Inosine,A4Q998,2P4S.pdb,Anopheles gambiae,0.585,-----,-----,Substrate_only,[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C=NC=2C(O)=NC=NC12,mol_901.sdf,-0.232844134
2.4.2.1,guanosine,P00491,7ZSL.pdb,Homo sapiens,0.012,7,-----,Substrate_only,[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C=NC=2C(=O)NC(N)=NC12,mol_899.sdf,-1.920818754
2.4.2.1,Inosine,P00491,7ZSL.pdb,Homo sapiens,0.04,-----,-----,Substrate_only,[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C=NC=2C(O)=NC=NC12,mol_901.sdf,-1.397940009
2.4.2.1,hypoxanthine,P00491,7ZSL.pdb,Homo sapiens,0.03,-----,-----,Substrate_only,N1C=NC=2N=CNC2C1=O,mol_913.sdf,-1.522878745
2.4.2.1,phosphate,P00491,7ZSL.pdb,Homo sapiens,4,-----,-----,Substrate_only,P(=O)([O-])([O-])[O-],mol_467.sdf,0.602059991
2.4.2.1,guanine,P00491,7ZSL.pdb,Homo sapiens,0.006,7,-----,Substrate_only,N1C(N)=NC=2N=CNC2C1=O,mol_905.sdf,-2.22184875
2.4.2.1,guanosine,P00491,7ZSL.pdb,Homo sapiens,0.012,-----,-----,Substrate_only,[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C=NC=2C(=O)NC(N)=NC12,mol_899.sdf,-1.920818754
2.4.2.1,Inosine,P00491,7ZSL.pdb,Homo sapiens,0.038987177,7.5,25°C,Substrate_only,[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C=NC=2C(O)=NC=NC12,mol_901.sdf,-1.409078206
2.4.2.1,guanine,P00491,7ZSL.pdb,Homo sapiens,0.006,-----,-----,Substrate_only,N1C(N)=NC=2N=CNC2C1=O,mol_905.sdf,-2.22184875
2.4.2.1,Inosine,P0ABP8,4TS9.pdb,Escherichia coli,0.32,-----,37°C,Substrate_only,[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C=NC=2C(O)=NC=NC12,mol_901.sdf,-0.494850022
2.4.2.1,"2,6-diamino-8-azapurine",P55859,3FUC.pdb,Bos taurus,0.06,6.5,25°C,Substrate_only,NC1=NC(=C2NN=NC2=N1)N,mol_2473.sdf,-1.22184875
2.4.2.1,8-Azaguanine,P55859,3FUC.pdb,Bos taurus,0.09,6.5,25°C,Substrate_only,N1C(N)=NC=2N=NNC2C1=O,mol_2466.sdf,-1.045757491
2.4.2.1,Inosine,P55859,3FUC.pdb,Bos taurus,0.0134,7,25°C,Substrate_only,[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C=NC=2C(O)=NC=NC12,mol_901.sdf,-1.872895202
2.4.2.1,7-methylguanosine,P55859,3FUC.pdb,Bos taurus,0.0168,7,25°C,Substrate_only,C[N+]1=CN([C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)C=2N=C(NC(C12)=O)N,mol_1503.sdf,-1.774690718
2.4.2.1,Inosine,P55859,3FUC.pdb,Bos taurus,0.032,7.5,25°C,Substrate_only,[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C=NC=2C(O)=NC=NC12,mol_901.sdf,-1.494850022
2.4.2.1,Inosine,Q8T9Z7,5ZNC.pdb,Plasmodium falciparum,0.011,7.4,-----,Substrate_only,[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C=NC=2C(O)=NC=NC12,mol_901.sdf,-1.958607315
2.4.2.10,orotidine 5'-phosphate,P13298,4WML.pdb,Saccharomyces cerevisiae,0.004,-----,-----,Substrate_only,P(=O)(O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C(=O)NC(=O)C=C1C(=O)O)O)O,mol_916.sdf,-2.397940009
2.4.2.10,5-phospho-alpha-D-ribose 1-diphosphate,P13298,4WML.pdb,Saccharomyces cerevisiae,0.041,-----,-----,Substrate_only,P(O)(=O)(OP(=O)(O)O)O[C@@H]1[C@H](O)[C@H](O)[C@H](O1)COP(=O)(O)O,mol_918.sdf,-1.387216143
2.4.2.10,5-phospho-alpha-D-ribose 1-diphosphate,P9WHK9,5HKF.pdb,Mycobacterium tuberculosis,0.009,8,25°C,Substrate_only,P(O)(=O)(OP(=O)(O)O)O[C@@H]1[C@H](O)[C@H](O)[C@H](O1)COP(=O)(O)O,mol_918.sdf,-2.045757491
2.4.2.10,orotidine 5'-phosphate,P9WHK9,5HKF.pdb,Mycobacterium tuberculosis,0.0026,8,25°C,Substrate_only,P(=O)(O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C(=O)NC(=O)C=C1C(=O)O)O)O,mol_916.sdf,-2.585026652
2.4.2.10,Orotate,P9WHK9,5HKF.pdb,Mycobacterium tuberculosis,0.00969536,8,25°C,Substrate_only,C(C1=CC(=O)NC(=O)N1)(=O)[O-],mol_914.sdf,-2.013436073
2.4.2.10,diphosphate,P9WHK9,5HKF.pdb,Mycobacterium tuberculosis,0.016,8,25°C,Substrate_only,[O-]P([O-])(=O)OP(=O)([O-])[O-],mol_915.sdf,-1.795880017
2.4.2.10,diphosphate,Q8N0R1,2PRZ.pdb,Plasmodium falciparum,0.0143,8,37°C,Apo site,[O-]P([O-])(=O)OP(=O)([O-])[O-],mol_915.sdf,-1.844663963
2.4.2.10,5-Fluoroorotate,Q8N0R1,2PRZ.pdb,Plasmodium falciparum,0.025,8,37°C,Apo site,FC1=C(C(=O)[O-])NC(NC1=O)=O,mol_2474.sdf,-1.602059991
2.4.2.10,Orotate,Q8N0R1,2PRZ.pdb,Plasmodium falciparum,0.007,-----,-----,Apo site,C(C1=CC(=O)NC(=O)N1)(=O)[O-],mol_914.sdf,-2.15490196
2.4.2.10,5-phospho-alpha-D-ribose 1-diphosphate,Q8N0R1,2PRZ.pdb,Plasmodium falciparum,0.0093,-----,-----,Apo site,P(O)(=O)(OP(=O)(O)O)O[C@@H]1[C@H](O)[C@H](O)[C@H](O1)COP(=O)(O)O,mol_918.sdf,-2.031517051
2.4.2.10,orotidine 5'-phosphate,Q8N0R1,2PRZ.pdb,Plasmodium falciparum,0.0251,8,37°C,Apo site,P(=O)(O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C(=O)NC(=O)C=C1C(=O)O)O)O,mol_916.sdf,-1.600326279
2.4.2.10,5-phospho-alpha-D-ribose 1-diphosphate,Q8N0R1,2PRZ.pdb,Plasmodium falciparum,0.0282,8,37°C,Apo site,P(O)(=O)(OP(=O)(O)O)O[C@@H]1[C@H](O)[C@H](O)[C@H](O1)COP(=O)(O)O,mol_918.sdf,-1.549750892
2.4.2.10,Orotate,Q8T6J6,3VI2.pdb,Vigna mungo,0.0045,8,30°C,Substrate_only,C(C1=CC(=O)NC(=O)N1)(=O)[O-],mol_914.sdf,-2.346787486
2.4.2.10,Orotate,Q8N0R1,2PRZ.pdb,Plasmodium falciparum,0.0182,8,37°C,Apo site,C(C1=CC(=O)NC(=O)N1)(=O)[O-],mol_914.sdf,-1.739928612
2.4.2.12,phosphate,P43490,8DSC.pdb,Homo sapiens,0.18,7.5,-----,Substrate_only,P(=O)([O-])([O-])[O-],mol_467.sdf,-0.744727495
2.4.2.12,ATP,P43490,8DSC.pdb,Homo sapiens,2.2,-----,-----,Substrate_only,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,mol_917.sdf,0.342422681
2.4.2.12,alpha-D-5-phosphoribosyl 1-diphosphate,P43490,8DSC.pdb,Homo sapiens,0.00063,7.5,-----,Substrate_only,C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O,mol_918.sdf,-3.200659451
2.4.2.12,ADP,P43490,8DSC.pdb,Homo sapiens,0.44,-----,-----,Substrate_only,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N,mol_980.sdf,-0.356547324
2.4.2.12,ATP,P43490,8DSC.pdb,Homo sapiens,7.4,7.5,-----,Substrate_only,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,mol_917.sdf,0.86923172
2.4.2.12,nicotinamide,Q99KQ4,2GVL.pdb,Mus musculus,0.92,7.4,37°C,Substrate_only,C(C1=CN=CC=C1)(=O)N,mol_726.sdf,-0.036212173
2.4.2.14,5-phospho-alpha-D-ribose 1-diphosphate,Q9STG9,6LBP.pdb,Arabidopsis thaliana,0.35,7.8,-----,Substrate_only,P(O)(=O)(OP(=O)(O)O)O[C@@H]1[C@H](O)[C@H](O)[C@H](O1)COP(=O)(O)O,mol_918.sdf,-0.455931956
2.4.2.14,L-glutamine,Q9STG9,6LBP.pdb,Arabidopsis thaliana,1.34,-----,-----,Substrate_only,N[C@@H](CCC(N)=O)C(=O)O,mol_1018.sdf,0.127104798
2.4.2.17,5-phospho-alpha-D-ribose 1-diphosphate,G7JFL4,6CZM.pdb,Medicago truncatula,0.182,8,24°C,Substrate_only,P(O)(=O)(OP(=O)(O)O)O[C@@H]1[C@H](O)[C@H](O)[C@H](O1)COP(=O)(O)O,mol_918.sdf,-0.739928612
2.4.2.17,ATP,G7JFL4,6CZM.pdb,Medicago truncatula,0.47,8,24°C,Substrate_only,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,mol_917.sdf,-0.327902142
2.4.2.17,ATP,Q4FQF7,6FCC.pdb,Psychrobacter arcticus,1.7,8.5,25°C,Substrate_only,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,mol_917.sdf,0.230448921
2.4.2.17,ATP,Q4FQF7,6FCC.pdb,Psychrobacter arcticus,2,8.5,15°C,Substrate_only,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,mol_917.sdf,0.301029996
2.4.2.17,5-phospho-alpha-D-ribose 1-diphosphate,Q4FQF7,6FCC.pdb,Psychrobacter arcticus,0.8,8.5,30°C,Substrate_only,P(O)(=O)(OP(=O)(O)O)O[C@@H]1[C@H](O)[C@H](O)[C@H](O1)COP(=O)(O)O,mol_918.sdf,-0.096910013
2.4.2.17,ATP,Q4FQF7,6FCC.pdb,Psychrobacter arcticus,1.8,8.5,20°C,Substrate_only,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,mol_917.sdf,0.255272505
2.4.2.17,ATP,Q4FQF7,6FCC.pdb,Psychrobacter arcticus,1.2,8.5,30°C,Substrate_only,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,mol_917.sdf,0.079181246
2.4.2.17,ATP,Q4FQF7,6FCC.pdb,Psychrobacter arcticus,2.1,8.5,10°C,Substrate_only,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,mol_917.sdf,0.322219295
2.4.2.18,anthranilate,P50384,1ZYK.pdb,Saccharolobus solfataricus,8.50E-05,7.2,37°C,Substrate_only,C(C=1C(N)=CC=CC1)(=O)[O-],mol_919.sdf,-4.070581074
2.4.2.18,5-phospho-alpha-D-ribose 1-diphosphate,P50384,1ZYK.pdb,Saccharolobus solfataricus,0.0035,-----,60°C,Substrate_only,P(O)(=O)(OP(=O)(O)O)O[C@@H]1[C@H](O)[C@H](O)[C@H](O1)COP(=O)(O)O,mol_918.sdf,-2.455931956
2.4.2.18,anthranilate,P50384,1ZYK.pdb,Saccharolobus solfataricus,0.0035,-----,60°C,Substrate_only,C(C=1C(N)=CC=CC1)(=O)[O-],mol_919.sdf,-2.455931956
2.4.2.18,5-phospho-alpha-D-ribose 1-diphosphate,P50384,1ZYK.pdb,Saccharolobus solfataricus,0.0043,7.5,60°C,Substrate_only,P(O)(=O)(OP(=O)(O)O)O[C@@H]1[C@H](O)[C@H](O)[C@H](O1)COP(=O)(O)O,mol_918.sdf,-2.366531544
2.4.2.18,anthranilate,P50384,1ZYK.pdb,Saccharolobus solfataricus,5.29E-05,7.5,60°C,Substrate_only,C(C=1C(N)=CC=CC1)(=O)[O-],mol_919.sdf,-4.276420984
2.4.2.18,5-phospho-alpha-D-ribose 1-diphosphate,Q9YGB4,1GXB.pdb,Thermococcus kodakarensis,0.25,8.5,55°C,Apo site,P(O)(=O)(OP(=O)(O)O)O[C@@H]1[C@H](O)[C@H](O)[C@H](O1)COP(=O)(O)O,mol_918.sdf,-0.602059991
2.4.2.18,anthranilate,Q9YGB4,1GXB.pdb,Thermococcus kodakarensis,0.0022,8.5,55°C,Apo site,C(C=1C(N)=CC=CC1)(=O)[O-],mol_919.sdf,-2.657577319
2.4.2.18,5-phospho-alpha-D-ribose 1-diphosphate,P50384,1ZYK.pdb,Saccharolobus solfataricus,0.0026,-----,40°C,Substrate_only,P(O)(=O)(OP(=O)(O)O)O[C@@H]1[C@H](O)[C@H](O)[C@H](O1)COP(=O)(O)O,mol_918.sdf,-2.585026652
2.4.2.19,quinolinic acid,P9WJJ7,1QPQ.pdb,Mycobacterium tuberculosis,0.08,7.2,37°C,Substrate_only,N1=C(C(=O)O)C(C(=O)O)=CC=C1,mol_920.sdf,-1.096910013
2.4.2.19,5-phospho-alpha-D-ribose 1-diphosphate,P9WJJ7,1QPQ.pdb,Mycobacterium tuberculosis,0.39,7.2,37°C,Substrate_only,P(O)(=O)(OP(=O)(O)O)O[C@@H]1[C@H](O)[C@H](O)[C@H](O1)COP(=O)(O)O,mol_918.sdf,-0.408935393
2.4.2.19,5-phospho-alpha-D-ribose 1-diphosphate,Q15274,2JBM.pdb,Homo sapiens,0.0232,-----,37°C,Substrate_only,P(O)(=O)(OP(=O)(O)O)O[C@@H]1[C@H](O)[C@H](O)[C@H](O1)COP(=O)(O)O,mol_918.sdf,-1.634512015
2.4.2.19,quinolinic acid,Q15274,2JBM.pdb,Homo sapiens,0.0216,-----,37°C,Substrate_only,N1=C(C(=O)O)C(C(=O)O)=CC=C1,mol_920.sdf,-1.665546249
2.4.2.2,uridine,Q5XA29,3QPB.pdb,Streptococcus pyogenes,0.158,7.5,-----,Substrate_only,[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C(=O)NC(=O)C=C1,mol_921.sdf,-0.801342913
